Image Name: Capture 2	
Slide Name: Slide1.sld	
Capture Date: 10/23/2020	
Capture Time: 17:18:02	
Plane	Time	Elapsed (ms)	PMT 1 (1) Mean 	PMT 1 (1) Min 	PMT 1 (1) Max 	PMT 1 (2) Mean 	PMT 1 (2) Min 	PMT 1 (2) Max 	PMT 1 (3) Mean 	PMT 1 (3) Min 	PMT 1 (3) Max 	PMT 1 (4) Mean 	PMT 1 (4) Min 	PMT 1 (4) Max 	PMT 1 (5) Mean 	PMT 1 (5) Min 	PMT 1 (5) Max 	PMT 2 (1) Mean 	PMT 2 (1) Min 	PMT 2 (1) Max 	PMT 2 (2) Mean 	PMT 2 (2) Min 	PMT 2 (2) Max 	PMT 2 (3) Mean 	PMT 2 (3) Min 	PMT 2 (3) Max 	PMT 2 (4) Mean 	PMT 2 (4) Min 	PMT 2 (4) Max 	PMT 2 (5) Mean 	PMT 2 (5) Min 	PMT 2 (5) Max 	
27	17:18:02	14480	3638.112	544.000	8060.000	4506.302	599.000	8383.000	1657.864	224.000	7236.000	2129.374	147.000	8383.000	1097.024	49.000	5047.000	699.483	4.000	3739.000	856.375	5.000	4399.000	2127.522	0.000	8383.000	1915.444	0.000	7818.000	3732.112	0.000	8383.000	
28	17:18:02	14766	3499.871	284.000	7548.000	4445.845	504.000	8383.000	1672.742	154.000	8133.000	2159.682	82.000	8271.000	1072.153	111.000	5934.000	689.793	5.000	3735.000	847.461	5.000	3941.000	2031.729	0.000	8383.000	1914.511	0.000	7600.000	3682.663	0.000	8383.000	
29	17:18:02	15052	3595.009	338.000	7796.000	4640.138	536.000	8383.000	1617.398	205.000	7026.000	2130.608	189.000	8263.000	1086.560	249.000	4574.000	764.647	0.000	4089.000	811.991	4.000	3971.000	2046.646	0.000	8383.000	1974.997	0.000	7319.000	3794.579	0.000	8383.000	FRAP timelapse timepoint: 30 500 ms 1 repetition all regions power 2 40 (Ph2P RS)	
30	17:18:02	16024	3548.927	298.000	8182.000	4725.987	184.000	8383.000	1732.991	180.000	7712.000	2125.359	191.000	8383.000	1089.690	0.000	5063.000	727.642	5.000	3233.000	846.918	4.000	3184.000	2439.852	0.000	8383.000	1855.590	0.000	7375.000	3880.095	0.000	8383.000	
31	17:18:02	16310	3571.724	229.000	8025.000	4427.349	995.000	8383.000	1706.805	55.000	8238.000	2127.871	180.000	7764.000	1076.827	225.000	5028.000	698.060	5.000	3545.000	862.082	3.000	3381.000	2399.258	0.000	8383.000	1815.180	0.000	7545.000	3665.027	0.000	8383.000	
32	17:18:02	16596	3649.065	208.000	6833.000	4507.634	214.000	8383.000	1694.327	146.000	7057.000	2157.985	276.000	8049.000	1080.973	252.000	4544.000	694.246	0.000	4114.000	854.772	3.000	3970.000	2354.903	0.000	8383.000	1797.170	0.000	7255.000	3649.352	0.000	8383.000	
33	17:18:02	16881	3640.914	292.000	7599.000	4662.371	821.000	8300.000	1702.006	118.000	7793.000	2146.649	13.000	8383.000	1083.527	106.000	4849.000	720.315	3.000	4368.000	908.134	0.000	3641.000	2231.991	0.000	8383.000	1862.798	0.000	7401.000	3713.390	0.000	8383.000	
34	17:18:02	17167	3468.565	276.000	8236.000	4516.237	635.000	8377.000	1656.147	56.000	7489.000	2120.058	154.000	8029.000	1096.668	173.000	4456.000	607.284	4.000	2740.000	911.349	0.000	4231.000	2228.893	0.000	8383.000	1947.757	0.000	7461.000	3768.735	0.000	8383.000	
35	17:18:02	17452	3694.789	633.000	8383.000	4170.728	333.000	8230.000	1672.437	226.000	8383.000	2142.866	126.000	8383.000	1089.578	221.000	5277.000	707.073	8.000	3964.000	807.608	0.000	4213.000	2185.718	0.000	8383.000	1960.697	0.000	7146.000	3788.841	0.000	8383.000	
36	17:18:02	17738	3466.797	633.000	7026.000	4302.336	691.000	8383.000	1661.889	219.000	7387.000	2125.565	54.000	7865.000	1098.811	201.000	5131.000	661.384	11.000	3162.000	851.414	0.000	3769.000	2191.402	0.000	8383.000	1937.078	0.000	7710.000	3803.386	0.000	8383.000	
37	17:18:02	18024	3486.871	228.000	7132.000	4696.026	959.000	8383.000	1651.388	150.000	7507.000	2106.034	280.000	8298.000	1091.028	180.000	5378.000	686.190	3.000	3559.000	832.000	0.000	4156.000	2112.841	0.000	8383.000	1946.991	0.000	7917.000	3807.565	0.000	8383.000	
38	17:18:02	18309	3464.681	665.000	8166.000	4554.478	355.000	8383.000	1623.077	210.000	7511.000	2156.963	270.000	8383.000	1111.550	169.000	5011.000	649.983	5.000	4244.000	944.547	1.000	3317.000	2095.336	0.000	8383.000	2011.303	0.000	7941.000	3882.763	0.000	8383.000	
